Velocidad Temperatura Presion 
1.000000 1.258759 3.918845e-04 
2.000000 3.536292 1.071274e-03 
3.000000 7.407110 2.423981e-03 
4.000000 12.864448 3.860867e-03 
5.000000 19.844324 6.140920e-03 
6.000000 28.490780 9.062071e-03 
7.000000 38.639633 1.286996e-02 
8.000000 50.324486 1.617267e-02 
9.000000 63.552288 2.025765e-02 
10.000000 78.305878 2.521012e-02 
